"lc_class","call_num_prefix","pub_date","last_checkin","checkout_total","title","author","country","language_code","oclc_num"
"C","Cassettes",NA,"1999-05-10",4,"Cassettes ***** IGNORE DUE DATE DISPLAYED -- 2-HOUR LOAN","College Library Reserves Circulation Record.","No place, unknown, or undetermined","|||",NA
"C","Cassettes",NA,"1999-06-17",27,"Cassettes ***** IGNORE DUE DATE DISPLAYED -- 2-HOUR LOAN","College Library Reserves Circulation Record.","No place, unknown, or undetermined","|||",NA
"C","Cassettes",NA,"1998-10-19",27,"Cassettes ***** IGNORE DUE DATE DISPLAYED -- 2-HR LOAN","College Library Reserves Circulation Record.","No place, unknown, or undetermined","|||",NA
"C","Cassettes",NA,"1998-10-20",23,"Cassettes ***** IGNORE DUE DATE DISPLAYED -- 2-HR LOAN","College Library Reserves Circulation Record.","No place, unknown, or undetermined","|||",NA
"C","Cassettes",NA,"1999-02-09",17,"Cassettes ***** IGNORE DUE DATE DISPLAYED -- 2-HR LOAN","College Library Reserves Circulation Record.","No place, unknown, or undetermined","|||",NA
"C","Cassettes",NA,"1999-05-04",12,"Cassettes ***** IGNORE DUE DATE DISPLAYED -- 2-HR LOAN","College Library Reserves Circulation Record.","No place, unknown, or undetermined","|||",NA
"C","Cassettes",NA,"1997-07-21",25,"Cassettes ***** IGNORE DUE DATE DISPLAYED -- 2-HR LOAN","College Library Reserves Circulation Record.","No place, unknown, or undetermined","|||",NA
"C","Cassettes",NA,"1997-07-21",13,"Cassettes ***** IGNORE DUE DATE DISPLAYED -- 2-HR LOAN","College Library Reserves Circulation Record.","No place, unknown, or undetermined","|||",NA
"C","Cassettes",NA,"1999-04-20",20,"Cassettes ***** IGNORE DUE DATE DISPLAYED -- 2-HR LOAN","College Library Reserves Circulation Record.","No place, unknown, or undetermined","|||",NA
"S","SUPPRESSED",1974,"2011-06-20",18,"Concrete island","Ballard, J. G., 1930-2009.","United States","eng",NA
"Q","QH",1999,"2004-12-14",20,"Customized biology, 5/E /","Raven, Peter H.","No place, unknown, or undetermined","eng",NA
"B","BF",1992,"1995-06-21",11,"Death and dying : opposing viewpoints /","","United States","eng",NA
"G","GB",1982,"1993-07-07",4,"Essentials of physical geography /","","United States","eng",NA
"E","Exams",NA,"1998-10-30",28,"Exams-7 - IGNORE DUE DATE DISPLAYED : 2-HOUR LOAN","College Library Reserves Circulation Record.","No place, unknown, or undetermined","|||",NA
"H","HM",2011,"2013-05-20",15,"Facebook me! : a guide to socializing, sharing, and promoting on Facebook /","Awl, Dave.","United States","eng",NA
"Q","QA",1997,"1998-10-19",10,"HTML 3.2 visual quick reference /","Scharf, Dean.","United States","eng",NA
"Q","QA",1998,"1999-09-17",13,"HTML 4 bible /","Pfaffenberger, Bryan, 1949-","United States","eng",NA
"Q","QA",1998,"2003-03-12",59,"HTML publishing on the Internet : everything you need to create professional-looking Web pages /","Heslop, Brent D.","United States","eng",NA
"H","HF",2005,"2012-03-14",21,"International economics : theory and policy /","Krugman, Paul R.","United States","eng",NA
"Q","QA",1997,"2000-02-25",15,"Java training guide /","Heller, Steve, 1949 April 17-","United States","eng",NA
"P","PN",1980,"2007-10-24",36,"Javanese wayang kulit : an introduction /","Van Ness, Edward C.","No place, unknown, or undetermined","eng",NA
"Q","QA",1984,"1999-06-08",21,"LISP : a gentle introduction to symbolic computation /","Touretzky, David S.","United States","eng",NA
"L","LECTURE",NA,"1998-11-11",28,"Lecture notes : IGNORE DUE DATE DISPLAYED : 2-HOUR LOAN","College Library Reserves Circulation Record.","No place, unknown, or undetermined","|||",NA
"Q","QD",2000,"2006-01-27",481,"Lehninger principles of biochemistry.","Lehninger, Albert L.","United States","eng",NA
"Q","QD",2000,"2006-01-27",35,"Lehninger principles of biochemistry.","Lehninger, Albert L.","United States","eng",NA
"Q","QD",2000,"2003-01-30",487,"Lehninger principles of biochemistry.","Lehninger, Albert L.","United States","eng",NA
"Q","QD",2000,"2001-04-03",75,"Lehninger principles of biochemistry.","Lehninger, Albert L.","United States","eng",NA
"Q","QD",2000,"2003-04-30",337,"Lehninger principles of biochemistry.","Lehninger, Albert L.","United States","eng",NA
"Q","QD",2000,"2004-10-29",115,"Lehninger principles of biochemistry.","Lehninger, Albert L.","United States","eng",NA
"P","PS",1991,"2012-09-25",42,"Libra /","DeLillo, Don.","United States","eng",NA
"P","PS",1973,"1991-06-05",14,"Melville's religious thought; an essay in interpretation.","Braswell, William, 1907-","United States","eng",NA
"Q","QH",2008,"2009-12-01",83,"Molecular biology of the cell /","","United States","eng",NA
"Q","QH",2008,"2009-10-08",96,"Molecular biology of the cell /","","United States","eng",NA
"Q","QH",2008,"2009-11-09",99,"Molecular biology of the cell /","","United States","eng",NA
"Q","QH",2008,"2010-01-26",58,"Molecular biology of the cell /","","United States","eng",NA
"P","PC",2001,"2011-02-16",100,"Mundo 21 /","Samaniego, Fabián A.","United States","spa",NA
"C","Cassettes",NA,"1998-11-11",4,"PC's / personal copies-1 : IGNORE DUE DATE DISPLAYED : 2-HR LOAN","College Library Reserves Circulation Record.","No place, unknown, or undetermined","|||",NA
"P","PC",NA,"1999-06-13",5,"PC's / personal copies-10 : IGNORE DUE DATE DISPLAYED : 2-HR LOAN","College Library Reserves Circulation Record.","No place, unknown, or undetermined","|||",NA
"P","PC",NA,"1999-06-17",6,"PC's / personal copies-10 : IGNORE DUE DATE DISPLAYED : 2-HR LOAN","College Library Reserves Circulation Record.","No place, unknown, or undetermined","|||",NA
"P","PC",NA,"1997-10-27",91,"PC's / personal copies-22 : IGNORE DUE DATE DISPLAYED : 2-HOUR LOAN","College Library Reserves Circulation Record.","No place, unknown, or undetermined","|||",NA
"P","PC",NA,"1997-12-04",7,"PC's / personal copies-26 : IGNORE DUE DATE DISPLAYED : 2-HR LOAN","College Library Reserves Circulation Record.","No place, unknown, or undetermined","|||",NA
"C","Cassettes",NA,"2007-08-23",5,"PC's / personal copies-28 : IGNORE DUE DATE DISPLAYED : 2-HR LOAN","College Library Reserves Circulation Record.","No place, unknown, or undetermined","|||",NA
"C","Cassettes",NA,"1998-03-25",18,"PC's / personal copies-28 : IGNORE DUE DATE DISPLAYED : 2-HR LOAN","College Library Reserves Circulation Record.","No place, unknown, or undetermined","|||",NA
"C","Cassettes",NA,"1998-03-21",22,"PC's / personal copies-28 : IGNORE DUE DATE DISPLAYED : 2-HR LOAN","College Library Reserves Circulation Record.","No place, unknown, or undetermined","|||",NA
"P","PC",NA,"1999-03-25",23,"PC's / personal copies-4 : IGNORE DUE DATE DISPLAYED : 2-HR LOAN","College Library Reserves Circulation Record.","No place, unknown, or undetermined","|||",NA
"P","PC",NA,"1998-10-21",22,"PC's / personal copies-8 : IGNORE DUE DATE DISPLAYED : 2-HR LOAN","College Library Reserves Circulation Record.","No place, unknown, or undetermined","|||",NA
"P","PC",NA,"1997-11-21",2,"PC's / personal copies-8 : IGNORE DUE DATE DISPLAYED : 2-HR LOAN","College Library Reserves Circulation Record.","No place, unknown, or undetermined","|||",NA
"P","PC",NA,"1999-01-31",8,"PC's / personal copies-9 : IGNORE DUE DATE DISPLAYED : 2-HR LOAN","College Library Reserves Circulation Record.","No place, unknown, or undetermined","|||",NA
"U","Unknown",2012,"2012-07-30",4,"PHYSIQUE 57 SOLUTION : THE GROUNDBREAKING 2-WEEK PLAN FOR A LEAN, BEAUTIFUL BODY.","Becker, Tanya.","No place, unknown, or undetermined","und",NA
"S","SUPPRESSED",NA,"2006-07-07",6,"Pasajes. Cuaderno de Practica","Bretz (CROTF)","No place, unknown, or undetermined","|||",NA
"S","SUPPRESSED",NA,"1995-10-13",3,"Pasajes. Cuaderno de Practica","Bretz (CROTF)","No place, unknown, or undetermined","|||",NA
"S","SUPPRESSED",NA,"1998-11-16",8,"Pasajes. Cuaderno de Practica","Bretz (CROTF)","No place, unknown, or undetermined","|||",NA
"L","LB",2012,"2013-11-22",5,"Teaching research processes : the faculty role in the development of skilled student researchers  /","Badke, William B., 1949-","United Kingdom","eng",NA
"G","GV",1989,"2009-03-30",58,"Tennis : steps to success /","Brown, Jim, 1940-","United States","eng",NA
"E","E",1970,"1994-12-05",17,"The Black American; a documentary history","Fishel, Leslie H.","United States","eng",NA
"D","DK",1965,"2001-12-15",7,"The Bolsheviks; the intellectual and political history of the triumph of communism in Russia","Ulam, Adam B., 1922-2000.","United States","eng",NA
"B","BS",1976,"1995-05-15",16,"The New Testament environment /","Lohse, Eduard, 1924-2015.","United States","eng",NA
"E","E",1971,"2006-03-22",11,"The Pentagon papers: as published by the New York times /","","Canada","eng",NA
"D","DG",1961,"2006-06-01",10,"The letters of Machiavelli, a selection of his letters.","Machiavelli, Niccolò, 1469-1527.","United States","eng",NA
"D","DC",1982,"2013-11-05",43,"The literary underground of the Old Regime /","Darnton, Robert.","United States","eng",NA
"H","HC",1998,"2000-02-12",14,"The making of economic society /","Heilbroner, Robert L.","United States","eng",NA
"A","AC",1978,"1996-04-02",17,"The poverty of theory & other essays /","Thompson, E. P. 1924-1993. (Edward Palmer),","United Kingdom","eng",NA
"D","DB",1967,"1998-03-01",6,"The revolutionary Emperor, Joseph II of Austria","Padover, Saul Kussiel, 1905-1981.","United States","eng",NA
"D","DC",1970,"1994-07-27",5,"The taking of the Bastille, July 14th 1789;","Godechot, Jacques Léon, 1907-1989.","United Kingdom","eng",NA
"P","PS",1991,"2013-10-17",114,"Their eyes were watching God /","Hurston, Zora Neale.","United States","eng",NA
"D","DG",1959,"2006-06-01",8,"Thoughts on Machiavelli.","Strauss, Leo.","No place, unknown, or undetermined","eng",NA
"P","PS",1980,"2012-11-13",52,"Tropic of cancer /","Miller, Henry, 1891-1980.","United States","eng",NA
"Q","QA",1995,"1999-09-17",67,"Windows 95 secrets /","Livingston, Brian.","United States","eng",NA
"P","PS",2004,"2013-08-29",17,"You are not the one : stories /","McIntyre, Vestal.","United States","eng",NA
"D","DT",1967,"2009-10-01",9,"A pastoral democracy; a study of pastoralism and politics among the northern Somali of the Horn of Africa.","Lewis, I. M.","United Kingdom","eng",1000113
"H","HQ",1983,"2009-03-02",21,"Haruko's world : a Japanese farm woman and her community /","Bernstein, Gail Lee.","United States","eng",10003253
"J","JV",1961,"2012-06-04",14,"Four centuries of Portuguese expansion, 1415-1825; a succinct survey.","Boxer, C. R. 1904-2000. (Charles Ralph),","South Africa","eng",1000565
"H","HD",1966,"2004-10-11",2,"Development planning : the essentials of economic policy /","Lewis, W. Arthur 1915-1991. (William Arthur),","United States","eng",1000610
"B","BF",1963,"1991-03-28",5,"Dora : an analysis of a case of hysteria /","Freud, Sigmund, 1856-1939, author.","United States","eng",10016015
"B","BF",1963,"2011-10-17",50,"Dora : an analysis of a case of hysteria /","Freud, Sigmund, 1856-1939, author.","United States","eng",10016015
"B","BF",1963,"1991-03-28",5,"Dora : an analysis of a case of hysteria /","Freud, Sigmund, 1856-1939, author.","United States","eng",10016015
"K","KF",1984,"2012-06-14",43,"The burden of Brown : thirty years of school desegregation /","Wolters, Raymond, 1938-2020.","United States","eng",10018596
"N","NK",1984,"2012-03-29",15,"The black and white style : Athens and Aigina in the orientalizing period /","Morris, Sarah P., 1954-","United States","eng",10018822
"N","NK",1984,"2010-05-19",14,"The black and white style : Athens and Aigina in the orientalizing period /","Morris, Sarah P., 1954-","United States","eng",10018822
"D","D",1984,"2009-10-29",12,"The dream and the tomb : a history of the Crusades /","Payne, Robert, 1911-1983.","United States","eng",10019580
"P","PN",1984,"2011-06-04",73,"Alice doesn't : feminism, semiotics, cinema /","De Lauretis, Teresa.","United States","eng",10020304
"P","PN",1984,"2012-12-07",213,"Alice doesn't : feminism, semiotics, cinema /","De Lauretis, Teresa.","United States","eng",10020304
"P","PS",1984,"2013-06-12",191,"Critical essays on F. Scott Fitzgerald's The great Gatsby /","","United States","eng",10020427
"G","GT",1948,"2010-05-26",12,"English fashion /","Settle, Alison, author.","United Kingdom","eng",1002048
"G","GN",1965,"2011-09-22",9,"The life history in anthropological science /","Langness, L. L. 1929- (Lewis L.),","United States","eng",1002063
"B","B",1984,"2000-03-21",57,"The Foucault reader /","Foucault, Michel, 1926-1984, author.","United States","eng",10021125
"N","N",1949,"2011-09-23",5,"Primitive art.","Adam, Leonhard, 1891-1960.","United Kingdom","eng",1002160
"P","PS",1984,"2011-10-10",9,"Poetry and tales /","Poe, Edgar Allan, 1809-1849.","United States","eng",10021672
"P","PQ",1984,"1997-12-09",24,"Childhood /","Sarraute, Nathalie, author.","United States","eng",10022778
"","",1984,"2007-01-04",126,"The Marshall Cavendish illustrated encyclopedia of World War I /","","United States","eng",10022789
"D","DC",1981,"2010-05-30",20,"Le roi-machine : spectacle et politique au temps de Louis XIV /","Apostolidès, Jean-Marie.","France","fre",10022920
"H","HG",1970,"2009-07-23",53,"The winning habit; how your personality makes you a winner or a loser in the stock market,","Appleman, Mark J.","United States","eng",100272
"P","PS",1930,"2012-06-30",24,"The 42nd parallel,","Dos Passos, John, 1896-1970.","United States","eng",1003083
"G","GT",1912,"2009-12-09",13,"The heritage of dress; being notes on the history and evolution of clothes,","Webb, Wilfred Mark, 1868-1952.","United Kingdom","eng",1003384
"H","HV",1970,"2009-05-04",4,"The time game : two views of a prison /","Manocchio, Anthony J.","United States","eng",100346
"D","DG",1956,"2013-03-04",8,"Tiberius : the resentful Caesar /","Marañón, Gregorio, 1887-1960, author.","United States","eng",1003795
"G","GV",1974,"1999-08-28",21,"The American woman in sport /","","United States","eng",1003949
"D","DA",1974,"2008-10-09",4,"Lord Rochester's monkey : being the life of John Wilmot, second Earl of Rochester /","Greene, Graham, 1904-1991, author.","United States","eng",1004013
"S","SF",1974,"2011-04-13",26,"All things bright and beautiful /","Herriot, James, author.","United States","eng",1004031
"D","DS",1962,"2012-01-03",8,"The United States and the Far East.","American Assembly.","United States","eng",1004504
"P","PS",1984,"2012-07-09",114,"The autobiography of LeRoi Jones /","Baraka, Amiri, 1934-2014, author.","United States","eng",10045633
"D","DS",1984,"2009-02-04",15,"Soviet Jewry in the decisive decade, 1971-80 /","","United States","eng",10045701
"G","GV",1984,"2011-03-17",18,"Four centuries of ballet : fifty masterworks /","Kirstein, Lincoln, 1907-1996, author.","United States","eng",10045706
"P","P",1963,"2011-05-23",7,"Manual of articulatory phonetics.","Smalley, William A. 1923-1997. (William Allen),","United States","eng",1004584
"R","RC",1984,"2005-03-24",22,"Sarah, a sexual biography /","Abramson, Paul R., 1949-","United States","eng",10046582
"R","RC",1984,"2009-12-07",21,"Sarah, a sexual biography /","Abramson, Paul R., 1949-","United States","eng",10046582
"H","HQ",1984,"1995-04-23",19,"Mind and media : the effects of television, video games, and computers /","Greenfield, Patricia Marks.","United States","eng",10046591
"P","PS",1984,"2010-03-16",7,"Warday : and the journey onward /","Strieber, Whitley.","United States","eng",10046613
"G","GB",1974,"2009-03-09",4,"The origin of landscapes; a synthesis of geomorphology","Garner, H. F.","United States","eng",1004663
"P","PN",1985,"1996-06-09",10,"Showdown, confronting modern America in the Western film /","Lenihan, John H., 1941- author.","United States","eng",1004808205
"G","GV",1974,"2009-04-18",9,"Strawberries in the wintertime; the sporting world of Red Smith.","Smith, Red, 1905-1982.","United States","eng",1004847
"B","BR",1957,"2011-03-29",5,"The city of God against the pagans : in seven volumes /","Augustine, of Hippo, Saint, 354-430.","United Kingdom","lat",10054483
"","",1970,"2010-01-21",16,"The triumph of American painting : a history of abstract expressionism /","Sandler, Irving, 1925-2018, author.","United States","eng",100557
"P","PA",1922,"2011-04-01",13,"Aeschylus /","Aeschylus, author.","United Kingdom","eng",1005732
"P","PA",1922,"2008-02-07",4,"Aeschylus /","Aeschylus, author.","United Kingdom","eng",1005732
"P","PA",1922,"2008-10-29",14,"Aeschylus /","Aeschylus, author.","United Kingdom","eng",1005732
"P","PA",1922,"2011-06-08",6,"Aeschylus /","Aeschylus, author.","United Kingdom","eng",1005732
"H","HV",1983,"2011-05-24",57,"Exodus Indochina /","St. Cartmail, Keith, 1930-1997.","New Zealand","eng",10058716
"P","PS",1983,"2013-01-14",38,"The woman who owned the shadows /","Allen, Paula Gunn, author.","United States","eng",10063759
"D","DT",1973,"2010-03-16",12,"A history of the Bemba; political growth and change in north-eastern Zambia before 1900","Roberts, Andrew, 1937-","United States","eng",1006644
"H","HG",1919,"2010-06-11",4,"The masters of capital : a chronicle of Wall Street /","Moody, John, 1868-1958.","United States","eng",1006856
"H","HC",1969,"2013-08-13",8,"The poor pay more; consumer practices of low-income families.","Caplovitz, David.","United States","eng",1006933
"G","GN",1983,"2012-02-21",5,"The Megalithic monuments of western Europe : the latest evidence /","","United States","eng",10070479
"P","PR",1948,"2009-03-10",4,"Here and there : short stories","Maugham, W. Somerset 1874-1965 (William Somerset),","United Kingdom","eng",10070848
"H","HM",1984,"2009-06-11",13,"Social research methods /","Dooley, David, 1943-","United States","eng",10071777
"N","NX",1986,"2013-11-13",18,"Heracles : the twelve labors of the hero in ancient art and literature /","Brommer, Frank.","United States","eng",10072045
"Q","QH",1984,"2007-06-08",18,"Principles of genetics /","Gardner, Eldon J. 1909-1989. (Eldon John),","United States","eng",10072342
"Q","Q",1984,"2012-07-13",4,"The new politics of science /","Dickson, David, 1947-2013.","United States","eng",10072849
"P","PS",1984,"2011-03-16",21,"Herman Melville : reassessments /","","United States","eng",10072987
"G","GT",1938,"2011-01-14",22,"Costume throughout the ages /","Evans, Mary, 1890-1970","United States","eng",1007538
"D","DD",1965,"2010-03-16",11,"Metapolitics, the roots of the Nazi mind : being a revised and enlarged edition of Metapolitics: from the romantics to Hitler /","Viereck, Peter, 1916-2006, author.","United States","eng",1007568
"F","F",1974,"2012-04-12",4,"Doc Middleton : life and legends of the notorious Plains outlaw /","Hutton, Harold.","United States","eng",1007757
"H","HX",1975,"2010-01-04",2,"Karl Marx, Frederick Engels : collected works /","Marx, Karl, 1818-1883.","United States","eng",1007861
"R","RM",1974,"2008-12-05",11,"Drugs and behavior /","Leavitt, Fred.","United States","eng",1007889
"P","P",1974,"2009-04-14",15,"On Noam Chomsky : critical essays /","","United States","eng",1008015
"E","E",1970,"2012-09-14",5,"A White House diary /","Johnson, Lady Bird, 1912-2007.","United States","eng",100802
"H","HD",1975,"2013-09-18",48,"Labor and monopoly capital : the degradation of work in the twentieth century /","Braverman, Harry.","United States","eng",1008042
"H","HB",1974,"2009-06-11",5,"Population policies and economic development; a World Bank staff report.","World Bank.","United States","eng",1008055
"P","PR",1975,"2013-03-01",29,"The life and death of Mary Wollstonecraft.","Tomalin, Claire.","United States","eng",1008184
"B","BF",1974,"2010-07-27",28,"Conceptual blockbusting; a guide to better ideas","Adams, James L.","United States","eng",1008219
"","",1875,"2007-07-11",9,"India and its native princes : travels in Central India and in the presidencies of Bombay and Bengal /","Rousselet, Louis, 1845-1929.","United Kingdom","eng",1008225104
"P","PR",1959,"2006-01-27",2,"The entertainer, a play.","Osborne, John, 1929-1994.","United Kingdom","eng",10082911
"D","DS",1970,"2007-06-02",12,"The lost crusade : America in Vietnam /","Cooper, Chester L.","United States","eng",100890
"P","PS",1975,"2009-06-02",3,"The underground woman /","Boyle, Kay, 1902-1992.","United States","eng",1009012
"U","U",1974,"2012-06-15",23,"Chinese ways in warfare /","","United States","eng",1009099
"U","U",1974,"2012-04-02",23,"Chinese ways in warfare /","","United States","eng",1009099
"P","PL",1983,"2008-08-21",18,"The literary mind and the carving of dragons : a study of thought and pattern in Chinese literature /","Liu, Xie, approximately 465-approximately 522.","China","eng",10092003
"M","M",1964,"2011-03-25",7,"Ballads and songs from Ohio /","","United States","eng",10092522
"J","JC",1975,"2010-12-09",5,"The pulse of freedom : American liberties: 1920-1970s /","","United States","eng",1009393
"G","GN",1975,"2011-12-07",103,"Kin groups and social structure","Keesing, Roger M., 1935-1993.","United States","eng",1009488
"D","DS",1975,"2013-08-15",18,"Iran's foreign policy, 1941-1973; a study of foreign policy in modernizing nations /","Ramazani, Rouhollah K., 1928-2016.","United States","eng",1009697
"H","HQ",1984,"2007-10-22",62,"The English family, 1450-1700 /","Houlbrooke, Ralph A. 1944- (Ralph Anthony),","United Kingdom","eng",10097990
"E","E",1984,"2009-10-18",17,"Oklahoma Seminoles : medicines, magic, and religion /","Howard, James H. 1925-1982. (James Henri),","United States","eng",10099431
"H","HQ",1984,"2013-12-19",20,"Pure lust : elemental feminist philosophy /","Daly, Mary, 1928-2010.","United States","eng",10099765
"Q","QL",1984,"2010-03-11",28,"The behavior of penguins : adapted to ice and tropics /","Müller-Schwarze, Dietland.","United States","eng",10100630
"H","HD",1984,"2011-05-04",13,"The land question in Palestine, 1917-1939 /","Stein, Kenneth W., 1946-","United States","eng",10100808
"T","TK",1984,"2005-01-28",24,"The man-made sun : the quest for fusion power /","Heppenheimer, T. A., 1947-","United States","eng",10100918
"B","B",1968,"2001-06-11",29,"Being and nothingness: an essay on phenomenological ontology","Sartre, Jean-Paul, 1905-1980.","United States","eng",10109619
"F","F",1983,"2011-05-10",168,"Southern California, an island on the land /","McWilliams, Carey, 1905-1980.","United States","eng",10110002
"D","D",1946,"2013-06-21",6,"The lost war : a Japanese reporter's inside story /","Katō, Masuo, 1912-","United States","eng",1011002
"H","HQ",1982,"1999-05-24",46,"Women of Korea : a history from ancient times to 1945 /","","Korea","eng",10110637
"F","F",1933,"2011-03-28",12,"Reminiscences of a ranger; or, Early times in Southern California.","Bell, Horace, 1830-1918.","United States","eng",10114066
"P","PR",1948,"2011-02-11",8,"Hamlet; the film and the play.","Shakespeare, William, 1564-1616.","United Kingdom","eng",1011448
"P","PR",1936,"1995-03-21",3,"Pamela's daughters,","Utter, Robert Palfrey, 1875-1936.","United States","eng",1011604
"P","PR",1965,"2012-04-10",9,"Past and present /","Carlyle, Thomas, 1795-1881, author.","United States","eng",1011735
"Q","QA",1949,"2013-10-27",29,"The skeleton key of mathematics; a simple account of complex algebraic theories.","Littlewood, Dudley Ernest.","United Kingdom","eng",1011921
"M","ML",1984,"2009-06-12",23,"Come together : John Lennon in his time /","Wiener, Jon, author.","United States","eng",10122094
"H","HQ",1984,"2011-01-03",9,"Why and how women will elect the next president /","Smeal, Eleanor, author.","United States","eng",10122476
"J","JK",1984,"1998-03-12",32,"Media politics : the news strategies of presidential campaigns /","Arterton, F. Christopher.","United States","eng",10122496
"J","JK",1984,"1995-06-06",15,"Media politics : the news strategies of presidential campaigns /","Arterton, F. Christopher.","United States","eng",10122496
"G","GF",1984,"2011-06-14",65,"Discovering the vernacular landscape /","Jackson, John Brinckerhoff, 1909-1996, author","United States","eng",10122618
"P","PS",1984,"2005-07-11",12,"The Eugene O'Neill companion /","Ranald, Margaret Loftus.","United States","eng",10123370
"L","LC",1984,"2009-12-06",16,"Public schools in hard times : the Great Depression and recent years /","Tyack, David B.","United States","eng",10123377
"Q","QA",1984,"2012-11-13",35,"Introduction to probability theory /","Itō, Kiyosi, 1915-2008.","United Kingdom","eng",10123440
"L","LC",1954,"2009-06-12",6,"Great books, the foundation of a liberal education /","Hutchins, Robert Maynard, 1899-1977.","United States","eng",1012577
"P","PS",1962,"2010-08-13",2,"Devil water /","Seton, Anya. author.","United States","eng",1012994
"P","PN",1970,"2012-10-01",103,"The Negro in films.","Noble, Peter, 1917-","United States","eng",101374
"C","CT",1929,"2010-12-10",2,"Before the bluestockings /","Wallas, Ada, 1859-1934.","United Kingdom","eng",1014301
"J","JN",1984,"2012-05-10",10,"Nomenklatura : the Soviet ruling class /","Voslenskiĭ, M. S.","United States","eng",10145728
"P","PN",1984,"2010-05-14",3,"Wits & sages : Jack Anderson, Russell Baker, Erma Bombeck, Jimmy Breslin, David Broder, Art Buchwald, William F. Buckley, Jr., Ellen Goodman, James J. Kilpatrick, Carl T. Rowan, Mike Royko, George F. Will /","Grauer, Neil A., author.","United States","eng",10145750
"P","PS",1984,"2007-11-05",13,"A wave : poems /","Ashbery, John, 1927-2017, author.","United States","eng",10146298
